laboratorio,grupo,problema,cluster_problema_manual,clean_problema,cluster_causa_manual,causa,clean_causa,consecuencia,clean_consecuencia,region
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano,ausencia financiamiento fomentar desarrollar programas postgrado regionales,insuficiente financiamiento fomentar desarrollar programas-postgrado macrozona-austral,equipos investigacion pequeñ inexistente lineas investigacion crecer,equipos-investigación pequeñ inexistente no-crecen lineas-investigación no-crecen,1
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano,ausencia financiamiento apoyar formación capital humano instalado regiones,insuficiente financiamiento fomentar desarrollar programas-postgrado macrozona-austral,equipos investigacion pequeñ inexistente lineas investigacion crecer,equipos-investigación pequeñ inexistente no-crecen lineas-investigación no-crecen,1
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano, claustro/cuerpo academico regiones requisitos actuales,insuficiente investigadores macrozona-austral docencia programas-postgrado,equipos investigacion pequeñ inexistente lineas investigacion crecer,equipos-investigación pequeñ inexistente no-crecen lineas-investigación no-crecen,1
lab rpp 1,fondecyt regular,insuficiente numero tesistas postgrado macrozona-austral,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano,sistema incentivos individualización cooperación (cna anid),sistema incentivos anid cna individualización cooperación,equipos investigacion pequeñ inexistente lineas investigacion crecer,equipos-investigación pequeñ inexistente no-crecen lineas-investigación no-crecen,1
lab rif 1,fondecyt iniciación, estudiantes postgrado regiones,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano, claustro/cuerpo académico regiones programas magister doctorado,insuficiente investigadores macrozona-austral docencia programas-postgrado,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,desconexión pregrado-investigaciónregional,desconexion lineas investigación regionales docencia pregrado aysén magallanes,desconexion investigación-regional docencia-pregrado macrozona-austral,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,capital-humano, universidad estatal ambas regiones alumnos,insuficiente universidades macrozona-austral estudiantes-pregrado,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rif 1,fondecyt iniciación,208 mil pesos insuficienten traer tesistas pregrado regiones,financiamiento capital-humano,insuficiente financiamiento capital-humano estudiantes-postgrado macrozona-austral,costo-operacional, costos vida mayores ambas regiones, costos vida mayores macrozona-austral,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rpp 1,fondecyt postdoc,falta recursos (honorarios) tesistas,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,capital-humano,baja cantidad estudiantes sistema ctci,insuficiente estudiantes-pregrado estudiantes-postgrado macrozona-austral,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rif 1,fondecyt iniciación,inmovilidad presupuesto item tesistas,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,bases-instrumento,bases anid brecha regional,bases-instrumento anid no-reconoce brechas macrozona-austral,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rif 1,fondecyt iniciación, estudiantes postgrado regiones,capital-humano,insuficiente capital-humano estudiantes-postgrado macrozona-austral,capital-humano, claustro/cuerpo académico regiones programas magister doctorado,insuficiente investigadores macrozona-austral docencia programas-postgrado,fondos destinados tesistas devolver anid,fondos destinados tesistas devolver anid,1
lab rif 1,fondecyt iniciación, destinar recursos tesistas internacionales,financiamiento colaboracion-internacional,insuficiente financiamiento colaboracion-internacional tesistas-internacionales,gestion-administrativa anid,anid necesita rut chileno,anid necesita rut chileno,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rpp 1,fondecyt regular, tesistas pregrado sistema ctci mz austral,capital-humano,insuficiente capital-humano estudiantes-pregrado macrozona-austral,desconexión pregrado-investigaciónregional,desconexion lineas investigación regionales docencia pregrado aysén magallanes,desconexion investigación-regional docencia-pregrado macrozona-austral,fondos destinados tesistas devolver anid,fondos destinados tesistas devolver anid,1
lab rpp 1,fondecyt postdoc,falta recursos (honorarios) apoyo profesional,financiamiento capital-humano,insuficiente financiamiento operación macrozona-austral gastos capital-humano asistentes-de-investigación,capital-humano,baja cantidad profesionales sistema ctci,baja cantidad profesionales-investigación sistema ctci,equipos investigacion pequeñ inexistente crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab rif 1,fondecyt iniciación,208 mil pesos insuficienten traer tesistas pregrado regiones,financiamiento capital-humano,insuficiente financiamiento capital-humano estudiantes-postgrado macrozona-austral,capital-humano, cantidad estudiantes baja mz austral (1 universidad estatal pregrado región),insuficiente estudiantes-pregrado macrozona-austral,equipos investigacion pequeñ crecer,equipos-investigación pequeñ inexistente no-crecen,1
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,financiamiento-universidades, exigencia co-financiamiento, exigencia co-financiamiento,aumenta brecha equipamiento cientifico macrozona-austral,aumenta brecha equipamiento-científico macrozona-austral,1
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,descoordinación anid-universidades,tasa cambio (clp-usd) fija establecida anid caso cambiar tasa universidad cargo diferencia tasa cambio,tasa-de-cambio fija establecida anid caso cambiar tasa universidades cargo diferencia,aumenta brecha equipamiento cientifico macrozona-austral,aumenta brecha equipamiento-científico macrozona-austral,1
lab rif 1,fondecyt iniciación,inmovilidad presupuesto item tesistas,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,bases-instrumento,bases anid brecha regional,bases-instrumento anid no-reconoce brechas macrozona-austral,investigador@ principal cumple funciones equipo ampliar linea investigación,investigador-principal cumple funciones equipos-investigación linea-investigación no-crecen,1
lab fri 1,fondequip mediano,gestión rigida compleja administrativa (comite tecnico) aplica naturaleza proyectos (zonas extremas vs laboratorio),gestion-administrativa realidad-territorial, gestión-administrativa anid diferencia equipamiento-científico terrenos laboratorios,gestion-administrativa realidad-territorial, administración programa muestra tendencia burocratización/rigidización/falta transparencia/arbitrariedad, administración programa muestra tendencia burocratización rigidización falta-de-transparencia arbitrariedad,conflictos anid investigaodores produce gasto recursos,conflictos anid investigadores generan gasto recursos,1
lab rpp 1,fondecyt postdoc,cambio / actualización bases,contenido bases-instrumento, bases-instrumento instrumento-anid confusas actualizaciones perjudiciales,bases-instrumento,actualizaciones anid posterior adjudicación proyecto,actualizaciones anid posterior adjudicación proyecto,retraso descoordinación proyectos,desfase descoordinación proyectos,0
lab rif 1,fondef idea,cambios par evaluador,evaluacion-anid, evaluación-administrativa anid propuesta deficiente,evaluacion-anid, pierde mirada proyecto postula cambiando rumbo mejoramiento proyecto original,cambios par-evaluador,afecta postulaciones siguientes,desvirtú proyecto postulado cambiando rumbo mejoramiento proyecto original,0
